epoch,loss,mae,val_loss,val_mae
0,0.06813967972993851,0.2232837677001953,0.06758217513561249,0.21839524805545807
1,0.06307327002286911,0.21152357757091522,0.06717389822006226,0.2179177850484848
2,0.06271428614854813,0.21044063568115234,0.06779999285936356,0.21892806887626648
3,0.06252899020910263,0.20989668369293213,0.06819780170917511,0.21916463971138
4,0.06240742653608322,0.20958831906318665,0.07170656323432922,0.22516103088855743
0,0.06456807255744934,0.2140701711177826,0.0679347962141037,0.21911457180976868
1,0.06238224729895592,0.20958968997001648,0.06912271678447723,0.22099575400352478
2,0.06218620762228966,0.20899371802806854,0.06771507859230042,0.218724325299263
0,1.0902991376744448e+16,332704.21875,0.11987792700529099,0.23952966928482056
1,0.1298326551914215,0.24978962540626526,0.11987792700529099,0.23952966928482056
2,0.1298326700925827,0.24978965520858765,0.1198778972029686,0.23952966928482056
0,0.07864370942115784,0.22715947031974792,0.06840609014034271,0.22001174092292786
1,0.06418219208717346,0.21390213072299957,0.06787578016519547,0.2193276286125183
2,0.06347227841615677,0.21270176768302917,0.069637231528759,0.22090283036231995
